City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
228,Tomatlan,MX,67.48,overcast clouds,19.9333,-105.25,El Salvial
229,Arraial Do Cabo,BR,75.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
231,The Valley,AI,77.09,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
233,Flinders,AU,74.48,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
236,Lake Havasu City,US,66.2,few clouds,34.4839,-114.3224,Heat Hotel
237,Lorengau,PG,83.64,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
243,San Pablo,PH,82.92,overcast clouds,14.0669,121.3258,SIESTA RESIDENCIA DE ARAGO
244,Sao Filipe,CV,72.48,clear sky,14.8961,-24.4956,Hotel Xaguate
246,Namibe,AO,72.28,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
247,Puerto Maldonado,PE,70.93,overcast clouds,-12.6,-69.1833,Wasai Hotel
251,Noumea,NC,78.78,light rain,-22.2763,166.4572,Hôtel Le Lagon
253,Bundaberg,AU,71.89,overcast clouds,-24.85,152.35,Takalvan Motel
256,Itarema,BR,78.8,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
260,Manokwari,ID,83.01,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
262,Rikitea,PF,79.02,few clouds,-23.1203,-134.9692,People ThankYou
264,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
268,Vanimo,PG,82.27,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
280,Dosso,NE,65.8,clear sky,13.049,3.1937,Hotel Toubal
281,Puri,IN,66.72,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
284,Talara,PE,71.67,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
285,Auki,SB,84.31,moderate rain,-8.7676,160.7034,Auki Motel
289,Sambava,MG,74.34,scattered clouds,-14.2667,50.1667,Melrose
292,Anito,PH,81.68,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
304,Pisco,PE,67.01,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
305,Wanaka,NZ,71.11,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
309,Sao Joao Da Barra,BR,76.17,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
