City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Alfred,ZA,2022-02-05 03:24:04,-33.5906,26.891,69.1,82,94,9.89
68,Sao Filipe,CV,2022-02-05 03:24:04,14.8961,-24.4956,73.08,71,0,10.6
69,Lebu,CL,2022-02-05 03:21:10,-37.6167,-73.65,57.76,85,78,17.02
70,Hailar,CN,2022-02-05 03:24:05,49.2,119.7,3.72,84,100,9.48
71,Dusetos,LT,2022-02-05 03:24:06,55.75,25.85,29.84,93,100,11.92
72,Kirakira,SB,2022-02-05 03:19:40,-10.4544,161.9205,84.22,75,100,6.67
73,Hadishahr,AZ,2022-02-05 03:24:06,38.8431,45.6635,34.29,96,99,1.77
74,Ilulissat,GL,2022-02-05 03:24:07,69.2167,-51.1,10.42,56,40,11.5
75,Olafsvik,IS,2022-02-05 03:20:20,64.8945,-23.7142,27.23,65,100,22.55
76,Bonthe,SL,2022-02-05 03:24:08,7.5264,-12.505,74.82,85,10,1.16
77,Alugan,PH,2022-02-05 03:24:08,12.2188,125.4808,80.55,79,100,17.74
78,Calama,CL,2022-02-05 03:24:08,-22.4667,-68.9333,55.89,15,0,3.44
79,Camacupa,AO,2022-02-05 03:24:09,-12.0167,17.4833,60.33,95,100,0.29
80,Alice Springs,AU,2022-02-05 03:19:41,-23.7,133.8833,78.35,31,0,11.5
81,Yuryevets,RU,2022-02-05 03:24:10,57.3201,43.1041,5.02,95,66,10.58
82,Bredasdorp,ZA,2022-02-05 03:21:14,-34.5322,20.0403,64.27,74,45,12.28
83,Wilson,US,2022-02-05 03:20:04,36.1501,-86.2833,29.43,87,100,6.91
84,Mogadishu,SO,2022-02-05 03:24:11,2.0371,45.3438,75.07,83,20,11.5
85,Leningradskiy,RU,2022-02-05 03:24:11,69.3833,178.4167,-17.7,93,52,7.67
86,Dinguiraye,GN,2022-02-05 03:24:12,11.3,-10.7167,68.09,18,0,1.79
87,Palana,RU,2022-02-05 03:24:12,59.1167,159.9667,15.82,72,99,11.81
88,Taoudenni,ML,2022-02-05 03:24:13,22.6783,-3.9836,63.3,15,24,9.44
89,Ancud,CL,2022-02-05 03:24:13,-41.8697,-73.8203,53.42,91,10,3.13
90,Avarua,CK,2022-02-05 03:24:14,-21.2078,-159.775,82.45,74,20,13.8
91,Chumikan,RU,2022-02-05 03:24:14,54.7183,135.315,2.16,72,100,14.99
92,Tuatapere,NZ,2022-02-05 03:25:15,-46.1333,167.6833,59.83,53,24,8.99
93,Luderitz,NA,2022-02-05 03:25:15,-26.6481,15.1594,68.63,71,90,4.41
94,Boende,CD,2022-02-05 03:25:16,-0.2167,20.8667,69.8,79,100,2.01
95,Helong,CN,2022-02-05 03:25:16,42.5397,128.9972,10.09,57,80,12.91
96,Lompoc,US,2022-02-05 03:25:17,34.6391,-120.4579,57.13,74,0,0.0
97,Orlik,RU,2022-02-05 03:21:40,52.5178,99.825,-9.18,89,73,2.3
98,Hilo,US,2022-02-05 03:24:56,19.7297,-155.09,78.53,80,40,9.22
99,Tarpon Springs,US,2022-02-05 03:25:18,28.1461,-82.7568,71.78,89,0,1.01
100,Kaitangata,NZ,2022-02-05 03:25:18,-46.2817,169.8464,57.29,54,15,8.5
101,Ludwigsfelde,DE,2022-02-05 03:25:19,52.3,13.2667,40.01,83,40,3.0
102,Quepos,CR,2022-02-05 03:25:20,9.4236,-84.1652,79.9,81,57,2.15
103,Nelson Bay,AU,2022-02-05 03:25:20,-32.7167,152.15,78.3,60,37,4.0
104,Saskylakh,RU,2022-02-05 03:25:20,71.9167,114.0833,-9.9,99,99,5.48
105,Mahebourg,MU,2022-02-05 03:25:21,-20.4081,57.7,80.26,89,75,17.27
106,Castro,BR,2022-02-05 03:25:21,-24.7911,-50.0119,64.38,98,64,4.25
